"Gender,""Age"",""openness"",""neuroticism"",""conscientiousness"",""agreeableness"",""extraversion"",""personality"""
"Male,""Remaja"",""Baik"",""Cukup"",""Baik"",""Cukup"",""Kurang"",""extraverted"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""serious"""
"Female,""Remaja"",""Baik"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Baik"",""Cukup"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Baik"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""lively"""
"Male,""Remaja"",""Sedang"",""Baik"",""Baik"",""Sedang"",""Cukup"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Baik"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Baik"",""Sedang"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Baik"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Baik"",""Cukup"",""Sedang"",""lively"""
"Male,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Male,""Remaja"",""Baik"",""Sedang"",""Baik"",""Baik"",""Sedang"",""extraverted"""
"Male,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""responsible"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Baik"",""Baik"",""Kurang"",""Sedang"",""Sedang"",""serious"""
"Female,""Remaja"",""Sedang"",""Baik"",""Cukup"",""Cukup"",""Kurang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""responsible"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""responsible"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Cukup"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Baik"",""Sedang"",""extraverted"""
"Female,""Dewasa"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""lively"""
"Female,""Remaja"",""Baik"",""Cukup"",""Baik"",""Sedang"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Kurang"",""extraverted"""
